month,day,hora,estacion,cantidadpasos
1,12,19,DEL,3784
1,12,19,ILL,3117
1,12,20,ALB,621
1,12,20,AVE,7125
1,12,20,DEL,4676
1,12,20,ILL,2942
1,12,21,ALB,573
1,12,21,AVE,6369
1,12,21,DEL,4232
1,12,21,ILL,2750
1,12,22,ALB,444
1,12,22,AVE,5636
1,12,22,DEL,3699
1,12,22,ILL,2654
1,12,23,ALB,365
1,12,23,AVE,4998
1,12,23,DEL,2862
1,12,23,ILL,2037
1,13,0,ALB,300
1,13,0,AVE,3748
1,13,0,DEL,1940
1,13,0,ILL,1245
1,13,1,ALB,170
1,13,1,AVE,1977
1,13,1,DEL,1216
1,13,1,ILL,748
1,13,2,ALB,107
1,13,2,AVE,1265
1,13,2,DEL,957
1,13,2,ILL,460
1,13,3,ALB,74
1,13,3,AVE,932
1,13,3,DEL,818
1,13,3,ILL,410
1,13,4,ALB,87
1,13,4,AVE,1122
1,13,4,DEL,989
